x,y
9.731733930899768,2.300729166628304
9.63578943973982,2.6742404291683592
8.587072709432913,5.124664114155434
7.605535455510008,6.492752146430677
5.1695570632067644,8.560121481045059
4.417827821180307,8.971220504613921
3.4135610171059705,9.399340465293001
2.388290268963273,9.710616334258878
2.38788652791027,9.71071562398079
2.386994854162327,9.710934845121894
1.7259121637727224,9.849935390800356
1.1017554292418898,9.939121438745781
0.18527716546491435,9.99828347127432
-0.16608794797988724,9.998620644545719
-0.6975309672162187,9.975642863984978
-1.2387013975663819,9.922984372035819
-3.2800375649242257,9.446764185301015
-3.9908099982519865,9.169156752823675
-5.110295022150081,8.595631727022052
-7.682794299567676,6.401146127884476
-8.771363712981055,4.8024138320847785
-9.225875066397688,3.857878854917747
-9.28829273678528,3.705080030955041
-9.812773829858827,1.9259983811098471
-9.926204324638322,1.2126284284691062
-9.95387537306961,-0.9593565851122848
-9.431797677740768,-3.322829000439814
-9.225493268901003,-3.8587917727524874
-7.510518823388349,-6.602431900711228
-6.7750060877832405,-7.355222125163864
-6.4904124474002955,-7.607532205822812
-5.472750300318269,-8.369528311103696
-5.086104115833626,-8.609967765497165
-5.049677290896593,-8.631382233327594
-3.6216474569890194,-9.321141008336102
-2.162078117306349,-9.763473675627186
-0.07013306041793793,-9.999754064667611
1.7531744857657867,-9.845119563644714
2.4476968403076986,-9.695812507363563
2.9918985061085612,-9.541936036735173
3.27740449663973,-9.447678009193883
4.155759511779432,-9.095584801443763
4.536403913801228,-8.911848266821472
4.881356334809082,-8.727677831623899
5.0291557684222425,-8.643355381849418
7.718422394711634,-6.358140902560584
8.114420200986912,-5.844329285881789
8.188699251664202,-5.739791334691021
9.890103412563725,-1.4784635568032627
9.998334568651133,-0.18249891319067288
